Ho et al. origin time,Reproduced longitude,Reproduced latitude,Reproduced depth (km),Origin time without near source,Latitude without near source,Longitude without near source,Depth without near source (km),Origin time with STAR,Latitude with STAR,Longitude with STAR,Depth with STAR (km)
2002-11-29T12:07:32.204651,161.28103208742675,-75.23726389823072,78.671875,2002-11-29T12:07:32.682210,-75.3292529167511,161.04008462661264,101.171875,,,,
2002-11-29T17:49:51.214754,160.94894079887737,-75.36368673972395,-4.648438,2002-11-29T17:49:51.348660,-75.37671152348823,160.9903081582666,-4.648438,,,,
2002-11-29T18:26:56.908646,160.98683643982716,-75.35757264895187,-4.648438,,,,,,,,
2002-11-29T22:12:18.704276,161.55795732599074,-75.05925545475877,88.164062,2002-11-29T22:12:19.030613,-75.24630525469051,161.38604638795752,129.296875,,,,
2002-11-30T10:39:35.614909,161.20622498080715,-75.11796132933029,-4.296875,2002-11-30T10:39:31.932790,-75.50677396462757,161.24396476772216,172.1875,,,,
2002-11-30T10:56:49.973223,161.5845941545826,-75.23977871320524,12.929688,,,,,,,,
2002-11-30T11:16:26.029152,161.58799649714578,-75.2259940583666,15.390625,,,,,,,,
2002-11-30T18:30:27.559312,161.5051274097079,-75.2001650890677,1.328125,,,,,,,,
2002-11-30T19:19:26.851535,161.69418090581928,-75.26780030557599,45.976562,,,,,,,,
2002-12-01T16:08:18.194954,161.60069289575662,-75.13795697015941,-4.648438,2002-12-01T16:08:17.831252,-75.11883843632006,161.59648453472678,-4.648438,,,,
2002-12-02T04:57:19.511679,160.95140257435492,-75.23203590788977,-4.648438,2002-12-02T04:57:20.137207,-75.0780965340577,161.28781076811092,35.78125,,,,
2002-12-08T06:04:52.508291,161.2210570210647,-75.55657173295653,-4.648438,2002-12-08T06:04:51.912278,-75.19041648714052,161.72156851906172,7.65625,,,,
2002-12-10T08:45:52.301513,161.53199774979242,-75.05702071946452,-4.648438,2002-12-10T08:45:52.526394,-74.97969265021057,161.55984124356493,87.109375,,,,
2002-12-11T05:25:04.414517,161.16843657355417,-75.2886415583832,64.257812,2002-12-11T05:25:04.373239,-75.36752742089799,161.0471644843228,-4.296875,,,,
2002-12-14T05:04:45.950635,160.85983927108808,-75.29933818906902,-4.648438,2002-12-14T05:04:45.920247,-75.30321703185508,160.95760480540918,-4.296875,,,,
2002-12-15T01:02:07.840704,161.07036988590175,-75.31776740494827,-4.648438,2002-12-15T01:02:46.986016,-76.55708758668413,158.7243627572049,27.34375,,,,
2002-12-15T04:12:14.091883,161.2663104252336,-75.32530043903405,-4.648438,2002-12-15T04:12:14.340502,-75.32155514294973,161.16831472742356,-4.296875,,,,
2002-12-16T06:35:45.898950,161.372513486427,-75.02443024825992,78.320312,2002-12-16T06:35:46.060699,-75.09330992305914,161.35466406410293,-4.296875,,,,
2002-12-16T07:21:28.195414,161.14613186843536,-75.23967116970704,64.960938,2002-12-16T07:21:28.083170,-75.30924863547752,161.24366906639588,-4.296875,,,,
2002-12-16T08:35:46.835198,161.29368093716303,-75.5251004671339,-4.648438,2002-12-16T08:35:45.759238,-75.50073767968775,160.95396227791144,128.59375,,,,
2002-12-16T20:42:17.196919,161.07527549133127,-75.20525909689347,60.742188,2002-12-16T20:42:17.301745,-75.47611067383038,160.7791973554273,132.109375,,,,
2002-12-17T00:54:48.355993,161.17954873127363,-75.34604320031355,-4.648438,2002-12-17T00:54:48.619252,-75.43488816801326,160.9551875648428,118.046875,,,,
2002-12-17T02:47:32.946237,161.22858819022517,-75.26563451851426,62.148438,2002-12-17T02:47:32.690843,-75.35068296270836,161.07002515124861,-4.296875,,,,
2002-12-17T03:35:52.169794,161.06325327674398,-75.27949774565802,-4.648438,2002-12-17T03:35:52.311546,-75.30470018256581,161.19096273968574,-4.296875,,,,
2002-12-17T07:40:23.023264,161.15344673702882,-75.27793486954324,55.820312,2002-12-17T07:40:21.309815,-75.33065066785743,161.27386866082213,-4.296875,,,,
2002-12-17T10:32:18.305344,160.99135838673536,-75.31087936931432,-4.648438,2002-12-17T10:32:18.573829,-75.31241056661928,161.06289329916726,-4.296875,,,,
2002-12-17T11:00:25.391520,161.08656961908255,-75.19683862211464,60.742188,2002-12-17T11:00:24.130145,-75.27414111592114,161.0557989424793,-4.296875,,,,
2002-12-17T14:22:35.588516,161.5730180020852,-75.06992987321638,-4.648438,2002-12-17T14:22:35.520651,-75.03926488532247,161.59816884846,-4.296875,,,,
2002-12-18T03:46:36.346505,161.34832330158912,-75.21957591728687,62.148438,2002-12-18T03:46:36.783516,-75.45323283466584,161.16782184992354,122.265625,,,,
2002-12-18T06:04:56.495511,161.017687218109,-75.31317843906419,-4.648438,2002-12-18T06:04:56.729473,-75.33076872061001,161.11171520907533,-4.648438,,,,
2002-12-19T05:50:54.793297,160.6853846631932,-76.15260401653437,8.007812,2002-12-19T05:50:55.341844,-75.3231240577191,161.07785198804814,-0.78125,,,,
2002-12-23T00:20:53.535183,161.6804602859615,-75.54806729127394,-4.648438,2002-12-23T00:20:52.513704,-75.21047979195518,162.07384031290565,28.046875,,,,
2002-12-23T04:48:08.760826,160.94401347852732,-75.2266761446346,58.984375,2002-12-23T04:48:07.791566,-75.30470018256581,161.19096273968574,-4.296875,,,,
