channel,phase,time
HHN,S,2003-12-11T10:01:08.274447
HHZ,P,2003-12-11T10:01:00.107866
HHN,S,2003-12-15T13:05:15.986809
HHZ,P,2003-12-15T13:05:07.241719
HHN,S,2003-12-16T06:00:23.340825
HHZ,P,2003-12-16T06:00:14.336191
HHN,S,2003-12-29T05:53:17.312040
HHZ,P,2003-12-29T05:53:08.339312
BHN,S,2012-11-28T16:12:52.178071
BHZ,P,2012-11-28T16:12:41.497968
BHN,S,2012-11-30T08:58:17.398041
BHZ,P,2012-11-30T08:58:07.278116
BHN,S,2012-12-02T03:58:54.822657
BHZ,P,2012-12-02T03:58:43.292215
BHN,S,2012-12-03T13:03:06.280279
BHZ,P,2012-12-03T13:02:54.948194
BHN,S,2012-12-05T11:05:03.517750
BHZ,P,2012-12-05T11:04:53.377197
BHN,S,2012-12-07T02:15:11.270555
BHZ,P,2012-12-07T02:15:00.328727
BHN,S,2012-12-08T06:13:56.197298
BHZ,P,2012-12-08T06:13:45.353541
BHE,S,2012-12-09T03:33:28.478079
BHZ,P,2012-12-09T03:33:15.739958
BHN,S,2012-12-09T05:43:32.697180
BHZ,P,2012-12-09T05:43:21.071759
BHN,S,2012-12-13T19:13:53.656378
BHZ,P,2012-12-13T19:13:43.289911
BHN,S,2012-12-13T20:36:26.462194
BHZ,P,2012-12-13T20:36:12.983463
BHN,S,2012-12-14T14:57:13.342430
BHZ,P,2012-12-14T14:57:02.546580
BHN,S,2012-12-16T14:01:11.713798
BHZ,P,2012-12-16T14:01:00.741352
BHN,S,2012-12-18T11:35:47.276105
BHN,S,2012-12-18T11:35:47.077911
BHN,S,2012-12-20T14:44:53.587245
BHZ,P,2012-12-20T14:44:42.596610
BHE,S,2012-12-21T09:32:23.027300
BHZ,P,2012-12-21T09:32:11.206733
BHE,S,2012-12-23T13:26:01.370928
BHZ,P,2012-12-23T13:25:49.410610
BHN,S,2012-12-27T00:05:28.176751
BHZ,P,2012-12-27T00:05:17.253172
BHE,S,2012-12-28T01:13:15.275912
BHZ,P,2012-12-28T01:13:01.864423
BHE,S,2012-12-28T06:16:40.998268
BHZ,P,2012-12-28T06:16:28.490362
BHN,S,2012-12-28T08:56:15.113593
BHZ,P,2012-12-28T08:56:04.584326
BHN,S,2012-12-28T11:08:17.666850
BHZ,P,2012-12-28T11:08:06.973444
BHN,S,2013-01-01T16:40:15.318381
BHZ,P,2013-01-01T16:40:04.743524
BHN,S,2013-01-06T11:35:54.207913
BHZ,P,2013-01-06T11:35:44.485192
BHN,S,2013-01-06T15:03:29.654583
BHZ,P,2013-01-06T15:03:18.706284
BHN,S,2013-01-07T06:03:39.613161
BHZ,P,2013-01-07T06:03:27.336370
BHN,S,2013-01-07T10:23:35.146119
BHZ,P,2013-01-07T10:23:24.019376
BHN,S,2013-01-09T13:59:22.950335
BHZ,P,2013-01-09T13:59:11.735125
BHN,S,2013-01-11T17:14:22.083276
BHZ,P,2013-01-11T17:14:11.366470
BHE,S,2013-01-13T16:54:41.568990
BHZ,P,2013-01-13T16:54:30.541536
BHN,S,2013-01-13T18:58:35.597070
BHZ,P,2013-01-13T18:58:24.862307
BHN,S,2013-01-14T10:37:00.633235
BHZ,P,2013-01-14T10:36:48.651238
BHN,S,2013-01-16T22:49:25.212409
BHZ,P,2013-01-16T22:49:14.359661
BHN,S,2013-01-17T18:07:06.580837
BHZ,P,2013-01-17T18:06:55.589302
BHN,S,2013-01-19T16:09:36.307841
BHZ,P,2013-01-19T16:09:20.323811
BHN,P,2013-01-20T02:05:57.769044
BHN,S,2013-01-20T11:50:37.390370
BHN,S,2013-01-23T10:34:03.708611
BHN,S,2013-01-24T13:25:16.468455
BHN,S,2013-01-24T14:11:08.901021
BHZ,P,2013-01-24T14:11:02.266138
BHN,S,2013-01-24T18:30:56.670276
BHZ,P,2013-01-24T18:30:45.857971
BHN,S,2013-01-24T21:00:33.564652
BHZ,P,2013-01-24T21:00:22.307597
BHN,S,2013-01-27T19:41:27.900547
BHZ,P,2013-01-27T19:41:17.105066
BHN,S,2013-01-28T16:55:51.009767
BHZ,P,2013-01-28T16:55:37.962425
BHN,S,2013-01-28T21:46:44.422915
BHZ,P,2013-01-28T21:46:32.126628
BHN,S,2013-01-30T04:34:40.752229
BHZ,P,2013-01-30T04:34:29.017145
BHN,S,2013-01-30T04:34:40.747415
BHZ,P,2013-01-30T04:34:29.024342
BHE,S,2013-01-30T10:27:25.729474
BHZ,P,2013-01-30T10:27:13.864616
BHN,S,2013-01-31T08:35:17.345162
BHN,S,2013-02-01T17:03:11.217824
BHZ,P,2013-02-01T17:02:57.376526
BHN,S,2013-02-06T21:02:21.087798
BHZ,P,2013-02-06T21:02:10.209676
BHE,S,2013-02-07T02:12:48.427968
BHZ,P,2013-02-07T02:12:38.065602
BHN,S,2013-02-08T02:23:09.066544
BHN,S,2013-02-10T05:24:40.370850
BHZ,P,2013-02-10T05:24:29.473876
BHE,S,2013-02-11T13:25:58.929524
BHZ,P,2013-02-11T13:25:48.254358
BHE,S,2013-02-18T10:27:23.534046
BHZ,P,2013-02-18T10:27:12.646934
BHE,P,2013-02-26T07:35:40.739921
BHN,S,2013-02-26T07:35:53.347628
BHN,S,2013-02-28T12:15:16.606182
BHZ,P,2013-02-28T12:15:06.381843
BHN,S,2013-03-01T03:49:42.959844
BHZ,P,2013-03-01T03:49:31.766818
BHN,S,2013-03-01T06:12:08.041167
BHZ,P,2013-03-01T06:11:58.403839
BHN,S,2013-03-01T06:12:08.083055
BHZ,P,2013-03-01T06:11:58.401755
BHN,S,2013-03-02T03:11:47.249536
BHZ,P,2013-03-02T03:11:36.840965
BHN,S,2013-03-03T20:48:10.676481
BHZ,P,2013-03-03T20:47:56.599538
BHN,S,2013-03-04T12:30:35.692133
BHN,S,2013-03-06T09:30:39.387204
BHZ,P,2013-03-06T09:30:28.757650
BHN,S,2013-03-08T14:24:05.368037
BHZ,P,2013-03-08T14:23:54.370416
BHN,S,2013-03-12T12:38:16.746839
BHZ,P,2013-03-12T12:38:06.416386
BHN,S,2013-03-14T03:07:22.472920
BHZ,P,2013-03-14T03:07:11.579775
BHN,S,2013-03-16T11:31:12.275864
BHZ,P,2013-03-16T11:31:01.400754
BHN,S,2013-03-17T17:42:10.350135
BHZ,P,2013-03-17T17:41:58.649128
BHN,S,2013-03-20T17:46:12.296982
