channel,phase,time
BHZ,P,2014-12-11T10:55:44.412889
BHN,S,2014-12-12T04:43:55.447936
BHZ,P,2014-12-12T04:43:43.294076
BHE,S,2014-12-14T22:03:10.835412
BHZ,P,2014-12-14T22:02:58.982557
BHZ,P,2014-12-15T21:13:25.072783
BHN,S,2014-12-20T07:58:57.859995
BHZ,P,2014-12-20T07:58:47.039818
BHN,S,2014-12-21T02:51:41.215981
BHZ,P,2014-12-21T02:51:30.170223
BHN,S,2014-12-21T14:28:24.586779
BHN,S,2014-12-22T19:21:08.339779
BHZ,P,2014-12-22T19:20:57.275189
BHN,S,2014-12-23T16:08:02.634341
BHZ,P,2014-12-23T16:07:52.168719
BHN,S,2014-12-26T06:34:31.759133
BHZ,P,2014-12-26T06:34:20.316823
BHN,S,2014-12-28T17:59:38.180573
BHN,S,2014-12-29T23:29:55.520513
BHZ,P,2014-12-29T23:29:44.788971
BHN,S,2014-12-30T22:43:49.442015
BHZ,P,2014-12-30T22:43:38.072287
BHN,S,2015-01-03T15:52:57.974969
BHN,S,2015-01-04T09:38:24.208632
BHZ,P,2015-01-04T09:38:12.550571
BHN,S,2015-01-05T09:24:24.978856
BHZ,P,2015-01-05T09:24:14.370086
BHN,S,2015-01-05T23:15:15.565533
BHZ,P,2015-01-05T23:15:04.430572
BHN,S,2015-01-10T22:10:04.890906
BHZ,P,2015-01-10T22:09:50.808985
BHN,S,2015-01-15T06:43:33.442503
BHZ,P,2015-01-15T06:43:22.259515
BHN,S,2015-01-16T08:02:11.870303
BHZ,P,2015-01-16T08:02:00.390477
BHN,S,2015-01-20T01:12:23.676999
BHZ,P,2015-01-20T01:12:10.904329
BHN,S,2015-01-20T10:04:35.755923
BHZ,P,2015-01-20T10:04:24.854887
BHN,S,2015-01-23T20:03:23.753178
BHZ,P,2015-01-23T20:03:12.491607
BHN,S,2015-01-25T03:51:43.516926
BHZ,P,2015-01-25T03:51:33.269521
BHN,S,2015-01-30T06:07:39.992445
BHZ,P,2015-01-30T06:07:29.806803
BHN,S,2015-01-30T18:22:04.774648
BHN,S,2015-01-31T10:44:58.622074
BHZ,P,2015-01-31T10:44:47.882471
BHN,S,2015-02-01T12:07:17.545782
BHZ,P,2015-02-01T12:07:06.737295
BHN,S,2015-02-01T21:12:28.183165
BHZ,P,2015-02-01T21:12:16.451643
BHN,S,2015-02-03T19:21:45.245187
BHZ,P,2015-02-03T19:21:31.538454
BHN,S,2015-02-04T16:41:41.150062
BHZ,P,2015-02-04T16:41:28.875048
BHN,S,2015-02-14T23:51:46.398736
BHZ,P,2015-02-14T23:51:35.635582
BHN,S,2015-03-04T06:41:45.214588
BHZ,P,2015-03-04T06:41:34.727268
BHN,S,2015-03-06T21:16:07.581503
BHZ,P,2015-03-06T21:15:56.312967
BHE,S,2015-03-07T21:26:36.300444
BHZ,P,2015-03-07T21:26:24.252510
BHN,S,2015-03-08T09:44:10.945821
BHZ,P,2015-03-08T09:44:00.314872
BHN,S,2015-03-09T13:26:28.440890
BHZ,P,2015-03-09T13:26:15.290203
BHN,S,2015-03-11T16:14:51.968249
BHZ,P,2015-03-14T00:50:15.515545
BHZ,P,2015-03-14T17:02:28.060746
BHN,S,2015-03-15T12:30:01.387337
BHZ,P,2015-03-15T12:29:50.621940
BHN,S,2015-03-17T20:35:45.254366
BHZ,P,2015-03-17T20:35:34.870645
BHN,S,2015-03-18T12:20:31.280657
BHN,S,2015-03-18T19:41:47.221380
BHN,S,2015-03-19T14:40:22.037936
BHN,S,2015-03-21T19:38:17.829971
BHZ,P,2015-03-21T19:38:03.897094
BHN,S,2015-03-29T14:33:52.062707
BHZ,P,2015-03-29T14:33:41.490148
BHN,S,2015-03-30T15:14:07.616631
BHZ,P,2015-03-30T15:13:57.400078
BHN,S,2015-03-30T17:39:57.449505
BHZ,P,2015-03-30T17:39:46.838680
BHN,S,2015-03-31T02:39:48.409943
BHZ,P,2015-03-31T02:39:37.631427
BHN,S,2015-04-01T04:58:40.792350
BHZ,P,2015-04-01T04:58:30.127495
BHN,S,2015-04-02T04:31:36.970596
BHZ,P,2015-04-02T04:31:26.437283
BHN,S,2015-04-05T05:21:04.861327
BHZ,P,2015-04-05T05:20:53.819135
BHN,S,2015-04-09T09:41:21.927917
BHZ,P,2015-04-09T09:41:11.362087
BHN,S,2015-04-11T02:29:33.037751
BHN,S,2015-04-11T03:18:34.960591
BHZ,P,2015-04-11T03:18:18.265483
BHN,S,2015-04-13T04:54:56.338155
BHZ,P,2015-04-13T04:54:45.393264
BHN,S,2015-04-13T17:38:28.308549
BHZ,P,2015-04-13T17:38:17.671443
BHN,S,2015-04-14T00:13:37.634560
BHZ,P,2015-04-14T00:13:26.585170
BHN,S,2015-04-16T10:23:44.825660
BHZ,P,2015-04-16T10:23:33.728610
BHN,S,2015-04-18T17:26:45.098283
BHZ,P,2015-04-18T17:26:34.940217
BHN,S,2015-04-18T21:34:09.844528
BHZ,P,2015-04-18T21:33:58.457821
BHN,S,2015-04-19T10:17:30.726963
BHN,S,2015-04-21T02:42:44.092468
BHZ,P,2015-04-21T02:42:31.998006
BHN,S,2015-04-21T12:13:43.453860
BHN,S,2015-04-21T13:40:37.697934
BHZ,P,2015-04-21T13:40:26.384311
BHN,S,2015-04-22T17:29:57.486023
BHZ,P,2015-04-22T17:29:45.603986
BHN,S,2015-04-24T06:35:08.922350
BHZ,P,2015-04-24T06:34:58.380676
BHN,S,2015-04-25T11:58:03.090236
BHZ,P,2015-04-25T11:57:51.476928
BHN,S,2015-04-26T09:11:35.463277
BHN,S,2015-04-26T20:51:38.279839
BHZ,P,2015-04-26T20:51:27.333353
BHN,S,2015-04-27T07:49:53.388920
BHZ,P,2015-04-27T07:49:42.783272
BHZ,P,2015-04-30T23:08:07.674860
BHN,S,2015-05-01T14:37:12.132986
BHZ,P,2015-05-01T14:37:00.840721
BHN,S,2015-05-04T05:46:09.259721
BHZ,P,2015-05-04T05:45:58.838490
BHN,S,2015-05-04T11:26:00.548020
BHZ,P,2015-05-04T11:25:49.318585
BHN,S,2015-05-05T21:50:49.814343
BHZ,P,2015-05-05T21:50:38.943635
BHN,S,2015-05-06T06:32:19.241666
BHZ,P,2015-05-06T06:32:08.793236
BHN,S,2015-05-07T15:08:20.048396
BHZ,P,2015-05-07T15:08:09.495279
BHN,S,2015-05-07T16:31:28.672449
BHZ,P,2015-05-07T16:31:18.813697
BHN,S,2015-05-09T06:34:55.043202
BHZ,P,2015-05-09T06:34:39.431710
BHN,S,2015-05-10T03:56:15.863408
BHZ,P,2015-05-10T03:56:04.869137
BHZ,P,2015-05-10T13:55:32.319180
BHN,S,2015-05-10T18:03:22.670391
BHZ,P,2015-05-10T18:03:12.478974
BHN,S,2015-09-02T04:08:08.785880
BHZ,P,2015-09-02T04:07:57.561696
BHN,S,2015-09-02T11:32:07.451876
BHZ,P,2015-09-02T11:31:57.121396
BHN,S,2015-09-06T05:21:37.688563
BHZ,P,2015-09-06T05:21:21.852706
BHN,S,2015-09-08T17:10:51.322073
BHZ,P,2015-09-08T17:10:41.561303
BHN,S,2015-09-11T18:13:25.164090
BHZ,P,2015-09-11T18:13:14.454473
BHN,S,2015-09-15T16:02:29.993198
BHZ,P,2015-09-15T16:02:19.312282
BHN,S,2015-09-17T18:46:49.941142
BHZ,P,2015-09-17T18:46:37.733302
BHN,S,2015-09-19T00:37:28.478130
BHZ,P,2015-09-19T00:37:17.723473
BHN,S,2015-09-22T12:03:11.494277
BHN,S,2015-09-22T18:08:45.817905
BHZ,P,2015-09-22T18:08:34.996225
BHN,S,2015-09-24T08:45:26.657595
BHZ,P,2015-09-24T08:45:16.015160
BHN,S,2015-10-01T18:26:46.311304
BHZ,P,2015-10-01T18:26:35.612007
BHN,S,2015-10-01T18:26:46.683896
BHZ,P,2015-10-01T18:26:35.617209
BHN,S,2015-10-05T09:42:32.136066
BHZ,P,2015-10-05T09:42:21.344940
BHN,S,2015-10-07T05:18:17.372392
BHZ,P,2015-10-07T05:18:05.164350
BHN,S,2015-10-07T05:58:13.124392
BHZ,P,2015-10-07T05:58:02.065943
BHN,S,2015-10-08T04:04:37.540087
BHZ,P,2015-10-08T04:04:26.988071
BHN,S,2015-10-14T09:10:34.186159
BHZ,P,2015-10-14T09:10:22.139874
BHN,S,2015-10-17T03:07:46.899479
BHZ,P,2015-10-17T03:07:36.326023
BHN,S,2015-10-21T23:06:19.354580
BHZ,P,2015-10-21T23:06:08.047423
BHN,S,2015-10-22T02:43:04.161730
BHZ,P,2015-10-22T02:42:53.097358
BHN,S,2015-10-23T00:10:39.447486
BHZ,P,2015-10-23T00:10:28.888662
BHN,S,2015-10-24T04:41:48.994794
BHN,S,2015-10-28T02:34:23.445430
BHZ,P,2015-10-28T02:34:10.708591
BHN,S,2015-10-28T13:41:27.776906
BHZ,P,2015-10-28T13:41:18.444986
BHN,S,2015-10-30T01:40:10.259920
BHZ,P,2015-10-30T01:39:59.375623
BHN,S,2015-10-31T17:17:00.866753
BHZ,P,2015-10-31T17:16:48.520424
BHN,S,2015-11-02T06:50:20.260482
BHZ,P,2015-11-02T06:50:10.314534
BHN,S,2015-11-03T12:17:50.191362
BHZ,P,2015-11-03T12:17:39.735505
BHN,S,2015-11-04T02:21:46.648114
BHZ,P,2015-11-04T02:21:36.036954
BHN,S,2015-11-07T08:02:48.181022
BHZ,P,2015-11-07T08:02:37.756585
BHN,S,2015-11-07T20:41:05.888134
BHZ,P,2015-11-07T20:40:55.118662
BHN,S,2015-11-08T18:28:40.228326
BHZ,P,2015-11-08T18:28:29.202630
BHN,S,2015-11-11T01:11:43.646755
BHZ,P,2015-11-11T01:11:32.696312
BHN,S,2015-11-11T19:44:25.052260
BHZ,P,2015-11-11T19:44:12.102096
BHN,S,2015-11-11T19:44:25.057791
BHZ,P,2015-11-11T19:44:12.072359
